Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
GF,Emissions from Forests,32,Argentina,5110,Area,6751,Forestland,1994,1994,3050,FAO TIER 1,1000 ha,34473.6,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6751,Forestland,1995,1995,3050,FAO TIER 1,1000 ha,34291,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6751,Forestland,1996,1996,3050,FAO TIER 1,1000 ha,34108.4,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6751,Forestland,1997,1997,3050,FAO TIER 1,1000 ha,33925.8,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6751,Forestland,1998,1998,3050,FAO TIER 1,1000 ha,33743.2,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6751,Forestland,1999,1999,3050,FAO TIER 1,1000 ha,33560.6,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6751,Forestland,2000,2000,3050,FAO TIER 1,1000 ha,33378,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6751,Forestland,2001,2001,3050,FAO TIER 1,1000 ha,33061.6,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6751,Forestland,2002,2002,3050,FAO TIER 1,1000 ha,32745.2,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6751,Forestland,2003,2003,3050,FAO TIER 1,1000 ha,32428.8,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6751,Forestland,2004,2004,3050,FAO TIER 1,1000 ha,32112.4,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6751,Forestland,2005,2005,3050,FAO TIER 1,1000 ha,31796,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6751,Forestland,2006,2006,3050,FAO TIER 1,1000 ha,31479.6,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6751,Forestland,2007,2007,3050,FAO TIER 1,1000 ha,31163.2,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6751,Forestland,2008,2008,3050,FAO TIER 1,1000 ha,30846.8,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6751,Forestland,2009,2009,3050,FAO TIER 1,1000 ha,30530.4,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6751,Forestland,2010,2010,3050,FAO TIER 1,1000 ha,30214,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6751,Forestland,2011,2011,3050,FAO TIER 1,1000 ha,29990.6,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6751,Forestland,2012,2012,3050,FAO TIER 1,1000 ha,29767.2,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6751,Forestland,2013,2013,3050,FAO TIER 1,1000 ha,29543.8,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6751,Forestland,2014,2014,3050,FAO TIER 1,1000 ha,29320.4,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6751,Forestland,2015,2015,3050,FAO TIER 1,1000 ha,29097,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6751,Forestland,2016,2016,3050,FAO TIER 1,1000 ha,28992.2,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6751,Forestland,2017,2017,3050,FAO TIER 1,1000 ha,28887.4,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6751,Forestland,2018,2018,3050,FAO TIER 1,1000 ha,28782.6,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6751,Forestland,2019,2019,3050,FAO TIER 1,1000 ha,28677.8,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6751,Forestland,2020,2020,3050,FAO TIER 1,1000 ha,28573,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6751,Forestland,2021,2021,3050,FAO TIER 1,1000 ha,28463.6667,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6751,Forestland,2022,2022,3050,FAO TIER 1,1000 ha,28355.2222,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,1990,1990,3050,FAO TIER 1,1000 ha,213.6,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,1991,1991,3050,FAO TIER 1,1000 ha,213.6,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,1992,1992,3050,FAO TIER 1,1000 ha,213.6,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,1993,1993,3050,FAO TIER 1,1000 ha,213.6,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,1994,1994,3050,FAO TIER 1,1000 ha,213.6,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,1995,1995,3050,FAO TIER 1,1000 ha,213.6,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,1996,1996,3050,FAO TIER 1,1000 ha,213.6,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,1997,1997,3050,FAO TIER 1,1000 ha,213.6,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,1998,1998,3050,FAO TIER 1,1000 ha,213.6,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,1999,1999,3050,FAO TIER 1,1000 ha,213.6,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,2000,2000,3050,FAO TIER 1,1000 ha,213.6,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,2001,2001,3050,FAO TIER 1,1000 ha,327.5,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,2002,2002,3050,FAO TIER 1,1000 ha,327.5,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,2003,2003,3050,FAO TIER 1,1000 ha,327.5,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,2004,2004,3050,FAO TIER 1,1000 ha,327.5,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,2005,2005,3050,FAO TIER 1,1000 ha,327.5,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,2006,2006,3050,FAO TIER 1,1000 ha,327.5,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,2007,2007,3050,FAO TIER 1,1000 ha,327.5,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,2008,2008,3050,FAO TIER 1,1000 ha,327.5,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,2009,2009,3050,FAO TIER 1,1000 ha,327.5,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,2010,2010,3050,FAO TIER 1,1000 ha,327.5,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,2011,2011,3050,FAO TIER 1,1000 ha,243,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,2012,2012,3050,FAO TIER 1,1000 ha,243,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,2013,2013,3050,FAO TIER 1,1000 ha,243,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,2014,2014,3050,FAO TIER 1,1000 ha,243,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,2015,2015,3050,FAO TIER 1,1000 ha,243,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,2016,2016,3050,FAO TIER 1,1000 ha,135,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,2017,2017,3050,FAO TIER 1,1000 ha,135,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,2018,2018,3050,FAO TIER 1,1000 ha,135,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,2019,2019,3050,FAO TIER 1,1000 ha,135,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,2020,2020,3050,FAO TIER 1,1000 ha,135,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,2021,2021,3050,FAO TIER 1,1000 ha,135,E,Estimated value,
GF,Emissions from Forests,32,Argentina,5110,Area,6750,Net Forest conversion,2022,2022,3050,FAO TIER 1,1000 ha,135,E,Estimated value,
